id,bagid,quadrat,t0_num_blades,g_ng,date_marked,date_collected,duration_days,site,collection_point,shoot_bag_weight,shoot_plus_bag_weight,rhizome_bag_weight,rhizome_plus_bag_weight,rhizome_weight,shoot_weight,length_measured,length_calculated,sheath_length,shoot_width,blade_number_tx,rhizome_length,numnodes,lateral_shoots,gfc_weight,gfc_weight_plus_sample,epi_weight,total_liquid_ml,ref_legth,b1_full,b1_new,b1_old,b2_full,b2_new,b2_old,b3_full,b3_new,b3_old,b4_full,b4_new,b4_old,b5_full,b5_new,b5_old,b6_full,b6_new,b6_old,b7_full,b7_new,b7_old,b8_full,b8_new,b9_old,b9_full,b9_new,b9_old,b10_full,b10_new,b10_old,baby_1,baby_2,notes,extention,original_length_Remaining,standardized_extension_to_sheath,standardized_to_old,condition_index,cut_index
15,117,13,6,ng,06-Jun-25,13-Aug-25,68,low,t3,10.336,NA,4.89,NA,-4.89,-10.336,89.3,0,18,0.4,6,11,12,2,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,#DIV/0!,5,0
17,KLGO,3,8,g,07-Jun-25,21-Jun-25,14,low,t2,8.607,8.59,1.432,1.528,0.096,-0.017,33.6,33.6,7.8,0.4,4,NA,NA,0,NA,NA,NA,NA,4,29.6,0.4,29.2,21.2,4,17.2,14.4,2,12.4,23,3.2,19.8,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,9.6,82.6,1.230769231,0.122137405,4,1
19,NA,4,5,ng,07-Jun-25,13-Jun-25,6,high,t1,8.68,8.977,4.711,4.745,0.034,0.297,71.1,70.2,19.2,0.3,6,NA,NA,0,0.587,0.589,0.002,50,9.6,60.2,0,60.2,25.4,0,25.4,60.6,0,60.6,42,0,42,43,0,43,32.8,1.1,31.7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,1.1,272.5,0.057291667,0.0041841,4,1
23,NA,NA,4,ng,07-Jun-25,21-Jun-25,14,high,t2,0,0,1.499,1.52,0.021,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,no shoot,0,0,#DIV/0!,#DIV/0!,0,2
25,BEKI,11,8,g,07-Jun-25,21-Jun-25,14,low,t2,8.742,8.974,1.561,1.643,0.082,0.232,58,58,15.4,0.4,6,NA,NA,0,NA,NA,NA,NA,2,44,NA,44,46.2,0.2,46,56,10.2,45.8,13.2,2,11.2,44.8,16.8,28,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,4.2,NA,NA,33.4,177,2.168831169,0.190857143,4,1
28,ADAM,5,4,g,07-Jun-25,21-Jun-25,14,high,t2,8.704,8.729,1.422,1.474,0.052,0.025,19.5,0,NA,0.3,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"length measured on  imageJ, count identify sheath",0,0,#DIV/0!,#DIV/0!,1,1
29,RAT2,8,7,g,07-Jun-25,21-Jun-25,14,low,t2,8.819,8.871,8.819,9.056,0.237,0.052,68.2,68.2,13.2,0.4,6,NA,NA,NA,NA,NA,NA,NA,4.4,46.4,0,46.4,53.4,3,50.4,60.8,41,19.8,63.8,18,45.8,32,15.6,16.4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,10,NA,NA,87.6,183.2,6.636363636,0.489932886,4,1
30,RAT1,8,5,g,07-Jun-25,21-Jun-25,14,low,t2,8.905,8.987,1.476,1.576,0.1,0.082,58,57.4,8,0.2,4,NA,NA,NA,NA,NA,NA,NA,5,40.2,0,40.2,21.2,18.8,2.4,36.2,2.2,34,52.4,18.8,33.6,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,39.8,115.2,4.975,0.361161525,4,1
34,NA,6,5,g,07-Jun-25,13-Jun-25,6,high,t1,8.616,9.034,4.702,4.822,0.12,0.418,99.8,90.7,7.1,0.4,9,NA,NA,0,0.526,0.619,0.093,50,3,8.5,1.9,6.6,8.6,0,8.6,31.5,0.1,31.4,33.2,0,33.2,39.4,0,39.4,37.9,0,37.9,87.7,0,87.7,23.5,1.2,22.3,33.9,1.7,32.2,NA,NA,0,NA,NA,NA,4.9,302.3,0.690140845,0.016371534,4,1
38,MABI,3,4,g,07-Jun-25,21-Jun-25,14,low,t2,0,0,4.62,4.683,0.063,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,no shoot,0,0,#DIV/0!,#DIV/0!,0,2
39,BEF2,1,4,g,07-Jun-25,21-Jun-25,14,high,t2,8.675,8.858,1.518,1.734,0.216,0.183,36,0,13.4,0.4,1,8.2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"dead/ mangled, lengths calculated by imageJ",0,0,0,#DIV/0!,3,1
45,COAL,1,5,ng,07-Jun-25,21-Jun-25,14,low,t2,8.653,8.683,NA,NA,0,0.03,13,0,NA,0.2,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"shoot is bairly there, couple little blades",0,0,#DIV/0!,#DIV/0!,2,1
